created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-10-30T01:29:45+00:00,1,25.00000,294.55,,,,Temperatura Normal
2024-10-30T01:30:17+00:00,2,24.90000,294.55,,,,Temperatura Normal
2024-10-30T01:30:50+00:00,3,24.80000,294.55,,,,Temperatura Normal
2024-10-30T01:31:23+00:00,4,29.80000,294.55,,,,Temperatura Normal
2024-10-30T01:31:56+00:00,5,26.20000,294.55,,,,Temperatura Normal
2024-10-30T01:32:29+00:00,6,25.80000,294.55,,,,Temperatura Normal
2024-10-30T01:33:01+00:00,7,25.30000,294.55,,,,Temperatura Normal
2024-10-30T01:33:34+00:00,8,26.20000,294.55,,,,Temperatura Normal
2024-10-30T01:34:07+00:00,9,25.80000,294.55,,,,Temperatura Normal
2024-10-30T01:34:40+00:00,10,25.30000,294.55,,,,Temperatura Normal
2024-10-30T01:35:12+00:00,11,25.30000,294.63,,,,Temperatura Normal
2024-10-30T01:36:21+00:00,12,24.80000,21.48,,,,Temperatura Normal
2024-10-30T01:36:53+00:00,13,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:37:26+00:00,14,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:37:58+00:00,15,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:38:31+00:00,16,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:39:03+00:00,17,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:39:35+00:00,18,25.30000,21.48,,,,Temperatura Normal
2024-10-30T01:40:07+00:00,19,25.80000,21.48,,,,Temperatura Normal
